Offense Case Type,Offense Date,Charges Description,Offense Street Name,Offense Cross Street,Case Closed,Agency,Officer Code,RACE,Defendant Gender
NT,2020-12-19,0:01:00,403 East 6th Street,,TERM,APD Do Not Use,7945,White,Male
NT,2020-12-19,0:03:00,E 6TH ST,,TERM,Other Agency,8205,White,Male
NT,2020-12-19,0:06:00,403 East 6th Street,,TERM,APD Do Not Use,7945,White,Female
NT,2020-12-19,0:08:00,E 6TH ST,,ACT,Other Agency,8205,Other,Male
NT,2020-12-19,0:13:00,E 6TH ST,,ACT,Other Agency,8205,White,Male
NT,2020-12-19,0:21:00,402 East 6th Street,,TERM,APD Do Not Use,6451,White,Male
NT,2020-12-19,0:24:00,402 East 6th Street,,TERM,APD Do Not Use,6451,White,Female
NT,2020-12-19,0:38:00,Fake Dl Seized,,TERM,APD Do Not Use,8674,,
NT,2020-12-19,0:41:00,402 East 6th Street,,TERM,APD Do Not Use,7945,White,Female
NT,2020-12-19,2:15:00,400 Block East 6th Street,,TERM,APD Do Not Use,7401,White,Male
NT,2020-12-19,20:21:00,700 Block East 7th Street,,TERM,APD Do Not Use,7779,Black or African American,Male
NT,2020-12-19,23:53:00,403 East 6th Street,,TERM,APD Do Not Use,7401,White,Female
NT,2020-12-19,23:53:00,403 East 6th Street,,TERM,APD Do Not Use,7401,White,Female
NT,2020-12-20,0:05:00,403 East 6th Street,,TERM,APD Do Not Use,7945,White,Female
NT,2020-12-20,0:05:00,403 East 6th Street,,TERM,APD Do Not Use,7945,White,Female
NT,2020-12-20,0:05:00,403 East 6th Street,,TERM,APD Do Not Use,7401,White,Male
NT,2020-12-20,0:06:00,403 East 6th Street,,TERM,APD Do Not Use,7849,White,Female
NT,2020-12-20,0:06:00,403 East 6th Street,,TERM,APD Do Not Use,7849,White,Female
NT,2020-12-20,0:20:00,,,TERM,APD Do Not Use,8674,Asian,Male
NT,2020-12-20,0:20:00,403 East 6th Street,,ACT,APD Do Not Use,8674,White,Female
NT,2020-12-20,0:36:00,E 6TH ST,,TERM,Other Agency,8205,White,Male
NT,2020-12-20,0:39:00,E 6TH ST,,TERM,Other Agency,8205,White,Female
